rendering_npi,provider_last_or_org_name,provider_first_name,provider_middle_initial,provider_credentials,provider_entity_type,provider_city,provider_state,provider_zip5,provider_ruca,provider_ruca_description,provider_country,provider_type,medicare_participating,hcpcs_code,hcpcs_description,hcpcs_drug_indicator,place_of_service,total_beneficiaries,total_services,total_beneficiary_day_services,average_submitted_charge,average_medicare_allowed,average_medicare_payment,average_medicare_standardized,year,extract_state,extract_hcpcs_code,provider_name,code_family,place_of_service_label,estimated_submitted_charge,estimated_allowed_amount,estimated_medicare_payment,estimated_standardized_payment,services_per_beneficiary,beneficiary_days_per_beneficiary,payment_per_beneficiary,charge_to_allowed_ratio,payment_to_allowed_ratio,payment_percentile,services_per_bene_percentile,charge_ratio_percentile,payment_per_bene_percentile,beneficiary_day_percentile,provider_code_services,provider_code_payment,prior_provider_code_services,prior_provider_code_payment,service_growth_rate,payment_growth_rate,high_payment_volume_flag,high_service_intensity_flag,high_charge_ratio_flag,high_payment_per_bene_flag,high_beneficiary_day_flag,rapid_growth_flag,audit_priority_score,audit_priority_decile
1104082809,Farhat,Mohamed,,MD,I,Crown Point,IN,46307,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Hematology-Oncology,Y,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",N,O,210,745.0,745,433.27785235,144.5962953,107.36558389,116.04845638,2024,IN,99215,"Farhat, Mohamed",Established outpatient E/M,Office,322792.00000075,107724.23999850001,79987.35999805,86456.1000031,3.5476190476190474,3.5476190476190474,380.89219046690476,2.9964657908493453,0.7425196037508714,0.9970978441127695,0.9896351575456053,0.9543946932006634,0.9875621890547264,0.9896351575456053,745.0,79987.35999805,386.0,50735.18999916,0.9300518134715026,0.5765656933456702,1,1,1,1,1,1,98.74585406301823,10
1063442051,Cha,Daniel,,MD,I,Skokie,IL,60076,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Anesthesiology,Y,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",N,O,221,702.0,702,374.37692308,90.203547009,68.099643875,67.516025641,2024,IL,99213,"Cha, Daniel",Established outpatient E/M,Office,262812.60000216,63322.890000318,47805.95000025,47396.249999982,3.176470588235294,3.176470588235294,216.3165158382353,4.150357003618126,0.7549552776256725,0.9771945470760607,0.981080392406676,0.9613326538412537,0.9843929162950694,0.9811440947891451,702.0,47805.95000025,314.0,21603.059999959998,1.2356687898089171,1.2129249282434302,1,1,1,1,1,1,98.04879602497134,10
1245449172,Lindzy,Charles,S,MD,I,Fort Wayne,IN,46814,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Pain Management,Y,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",N,O,49,202.0,202,473.35,166.80237624,125.33485149,133.91009901,2024,IN,99215,"Lindzy, Charles",Established outpatient E/M,Office,95616.70000000001,33694.08000048,25317.64000098,27049.84000002,4.122448979591836,4.122448979591836,516.686530632245,2.8377893089420416,0.7513972781158984,0.9564676616915423,0.9946102819237148,0.9456882255389718,0.996268656716418,0.9946102819237148,202.0,25317.64000098,53.0,6521.58999976,2.811320754716981,2.8821269049283553,1,1,1,1,1,1,97.87935323383084,10
1063605921,Beck,Jeffrey,,MD,I,Terre Haute,IN,47802,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Physical Medicine and Rehabilitation,Y,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",N,O,531,1342.0,1342,765.03,121.41609538,92.240894188,95.420163934,2024,IN,99214,"Beck, Jeffrey",Established outpatient E/M,Office,1026670.26,162940.39999996,123787.280000296,128053.85999942801,2.5273069679849343,2.5273069679849343,233.1210546144934,6.3008944374768445,0.7597089487955497,0.9961923847695391,0.9349699398797595,0.9979959919839679,0.9671342685370742,0.9349699398797595,1342.0,123787.280000296,617.0,56930.489999725,1.1750405186385737,1.1743582393352656,1,1,1,1,1,1,97.43086172344691,10
1235450420,Goreshi,Renato,,MD,I,Merrillville,IN,46410,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Dermatology,Y,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",N,O,474,956.0,956,276.24329498,90.783138075,66.984895397,66.04333682,2024,IN,99213,"Goreshi, Renato",Established outpatient E/M,Office,264088.59000087995,86788.67999969999,64037.559999532,63137.429999919994,2.0168776371308015,2.0168776371308015,135.10033755175527,3.0428921145222265,0.7378561351521116,0.9940952762209768,0.9475580464371497,0.9543634907926342,0.97337870296237,0.9475580464371497,956.0,64037.559999532,591.0,39140.620000038,0.6175972927241963,0.6360895662733456,1,1,1,1,1,1,97.19525620496398,10
1184732356,Weber,Kim,M,MD,I,Richmond,IN,47374,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Family Practice,Y,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",N,O,110,372.0,372,256.0,60.459086022,47.741236559,50.741021505,2024,IN,99213,"Weber, Kim",Established outpatient E/M,Office,95232.0,22490.780000184,17759.739999948,18875.65999986,3.381818181818182,3.381818181818182,161.4521818177091,4.234268442411552,0.7896453568885875,0.905724579663731,0.9899919935948759,0.9923939151321057,0.9847878302642114,0.9899919935948759,372.0,17759.739999948,151.0,7269.960000064,1.4635761589403973,1.4428937710512375,1,1,1,1,1,1,97.0006004803843,10
1275500522,Adams,Jody,,NP,I,Crown Point,IN,46307,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Nurse Practitioner,Y,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",N,O,85,229.0,229,435.5371179,122.10379913,92.942925764,99.667554585,2024,IN,99215,"Adams, Jody",Established outpatient E/M,Office,99737.9999991,27961.77000077,21283.929999956,22823.869999965,2.6941176470588237,2.6941176470588237,250.39917647007059,3.566941577602328,0.7611796391777019,0.9390547263681592,0.9759535655058044,0.9834162520729685,0.9535655058043118,0.9759535655058044,229.0,21283.929999956,51.0,5423.04000015,3.4901960784313726,2.9247230334585934,1,1,1,1,1,1,96.80970149253731,10
1033555966,Little,Tara,J,FNP,I,Warsaw,IN,46580,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Nurse Practitioner,Y,99214,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",N,F,61,362.0,362,259.0,77.259502762,59.030331492,61.367375691,2024,IN,99214,"Little, Tara",Established outpatient E/M,Facility,93758.0,27967.939999844,21368.980000104002,22214.990000142,5.934426229508197,5.934426229508197,350.31114754268856,3.352338427518186,0.7640526974894538,0.9194977843426884,1.0,0.9121122599704579,0.9992614475627769,1.0,362.0,21368.980000104002,199.0,11823.950000028999,0.8190954773869347,0.8072623784819449,1,1,1,1,1,1,96.65805022156573,10
1003956301,Colburn,Megan,,NP,I,Highland,IN,46322,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Nurse Practitioner,Y,99213,"Established patient office or other outpatient visit with low level od decision making, if using time, 20 minutes or more",N,O,87,308.0,308,240.0,70.39961039,53.737564935,57.693409091,2024,IN,99213,"Colburn, Megan",Established outpatient E/M,Office,73920.0,21683.08000012,16551.16999998,17769.570000028,3.5402298850574714,3.5402298850574714,190.24333333310346,3.409109775898576,0.7633219081370544,0.8951160928742994,0.9910928742994396,0.9698759007205765,0.9917934347477982,0.9910928742994396,308.0,16551.16999998,197.0,7984.679999926,0.5634517766497462,1.0728657880006953,0,1,1,1,1,1,96.5357285828663,10
1043266174,Mushtaq,Mian,,M.D.,I,Jeffersonville,IN,47130,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Internal Medicine,Y,99215,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",N,O,114,289.0,289,355.53633218,141.29294118,110.95844291,108.70968858,2024,IN,99215,"Mushtaq, Mian",Established outpatient E/M,Office,102750.00000002,40833.660001020005,32066.99000099,31417.09999962,2.5350877192982457,2.5350877192982457,281.2893859735965,2.5163064000986775,0.7853077583588878,0.9705638474295191,0.9709784411276948,0.9058872305140961,0.9676616915422885,0.9709784411276948,289.0,32066.99000099,175.0,18406.8599995,0.6514285714285715,0.7421216873416249,1,1,1,1,1,1,96.49668325041458,10
